МЕСЕЦ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Благоевград,2779634.48,2649658.3199999994,3094452.1599999997,2958903.56,3163052.01,3441700.4499999997,3827565.95,4225278.44,3658748.48,3068212.9299999997,2709647.67,3062840.3299999996,2861028.96,2535558.71,2032108.0999999996,1510140.69,1970788.1500000001,2504069.3800000004,2993545.98,2876428.96,2649452.2,2422374.8099999996,1987747.4,2011040.3099999998,2039896.1899999997,1920948.29,2088234.98,2159925.73,2516535.16,2701320.6899999995,3480603.1599999997,3532965.38,2889692.08,2581994.07,2274926.02,2474787.23,2241355.8999999994,2262484.23,2616768.36,2652567.83,2910548.51,3333814.31,4030645.5,3999918.6600000006,3490175.3499999996,2952640.3499999996,2554573.9000000004,3118828.2799999993,2452133.0399999996,2527077.04,2767766.81,2974062.54,3050936.42,3612830.7199999997,4572098.73,4599411.079999999,3998465.1999999997,3032959.13,2698773.89,3017869.67,2783890.08,2674482.9800000004,3019783.82,3021822.4400000004,3466292.8100000005,4076152.039999999,4668949.21,4970952.870000001,4196827.55,3239891.1199999996,2983148.83,3167631.0399999996,3166755.17,2940368.9800000004,3319711.69,3481539.91,3759680.3899999997,4730838.300000001,5363108.43,5809270.239999999,4726619.42,3521316.04,3279461.7399999998,3622207.4699999997,3245365.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бургас,2615344.8600000003,2566373.6899999995,2936748.76,3159934.54,3490551.6,4452283.390000001,5465175.170000001,6194996.42,4170066.5100000002,3085535.47,2665378.84,2712728.9499999997,2485597.2499999995,2382180.75,2282393.2300000004,1980843.42,3011448.54,3579667.38,5091213.74,5744420.83,4175861.0700000003,2916931.7700000005,2526503.8,2420847.6500000004,2335483.4,2290733.2899999996,2554289.159999999,2769721.32,3369683.55,4093532.33,6220182.75,7019198.219999999,4252252.41,3155563.04,2834932.4,2967434.4099999997,2715301.75,2676913.91,3119577.9700000007,3413878.4599999995,3825423.75,4289482.7700000005,5975185.75,6205649.74,4643238.75,3697070.8200000003,3272687.39,3775774.04,2693652.9,2771883.6499999994,3366671.9599999995,3371117.4400000004,3757172.0300000003,4534191.19,6485027.300000001,6619118.58,4532208.96,3564585.29,3158822.34,3257862.28,3046038.5,2941063.38,3460849.45,3575680.2299999995,4039307.87,5051367.000000001,7206356.719999999,7495354.17,5005442.0600000005,4017986.52,3889224.7799999993,3694504.9499999993,3628643.4999999995,3425686.79,3780255.63,4280211.63,4794771.35,5899034.950000001,7539503.5600000005,8190793.3599999985,5435358.899999999,4264635.6899999995,4177371.4499999997,4473401.180000001,3636360.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Варна,3218412.95,3238318.8399999994,3800232.74,3672541.2800000003,3740029.8200000003,4092766.58,4619699.369999999,4875561.699999999,3952056.8600000003,3705870.1799999997,3396063.3899999997,3512556.41,3239931.1699999995,3081855.12,2981734.7700000005,2538271.4899999998,3428406.4200000004,3724826.5100000002,4505181.390000001,4760436.4,4108441.1100000003,3779938.6499999994,3299756.24,3227697.8900000006,3212337.3199999994,3113702.12,3404492.26,3606232.8099999996,3928466.11,4050017.6899999995,5100296.92,5202594.97,4022589.0899999994,3803636.54,3444483.32,3711767.2500000005,3349621.5499999993,3344798.99,3591771.76,3780163.3800000004,3981547.62,4034182.67,4785483.399999999,5061073.29,4179260.0300000003,3961070.11,3666014.34,4292729.88,3078280.99,3221859.6500000004,3668114.61,3874870.19,4094254.3900000006,4418161.219999999,5152786.5,5269095.59,4286340.8,4028571.1499999994,3745416.4700000007,3911638.52,3608641.0300000003,3495036.9799999995,4020397.46,4085694.05,4343322.45,4756086.96,5451363.479999999,5666581.43,4633466.24,4495682.899999999,4256931.02,4246033.45,3928551.03,3655145.5500000003,4245005.12,4457481.35,4766841.22,5231509.529999999,5978765.23,6194441.280000001,4977174.08,4760204.32,4565153.98,4828534.300000001,4050898.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Велико Търново,1314440.42,1258475.2000000002,1522949.03,1519743.7700000003,1594870.54,1593599.6400000001,1770336.2399999995,1918598.3199999998,1680084.61,1560120.65,1485999.86,1532748.1300000001,1375081.3900000001,1285963.23,1287235.56,1180299.1400000001,1575610.3599999999,1592231.15,1806181.3699999996,1867456.17,1701017.9499999997,1663005.03,1452046.08,1397824.86,1351989.8499999999,1331332.46,1480870.52,1633100.5299999998,1784769.0000000002,1723941.7000000002,2018527.1400000001,2010099.5300000003,1652840.17,1635942.25,1487443.3900000001,1528144.84,1405086.6,1381517.16,1492454.6500000001,1604184.99,1671301.0,1589889.03,1778180.4799999997,1835975.9299999997,1610025.74,1629575.58,1407053.2199999997,1641525.1499999997,1223015.87,1250076.8099999998,1526999.5699999996,1611287.2999999998,1710793.17,1751430.5799999998,1941793.4700000004,2006609.04,1722161.57,1671260.52,1611113.2200000002,1611216.8399999999,1478752.8499999999,1425004.3399999999,1664802.6,1736172.4899999998,1802762.28,1854033.1199999999,1966127.62,2104351.43,1831473.35,1808222.4899999998,1719363.3800000001,1734805.75,1579504.1099999999,1506436.1,1745996.6300000004,1855041.4,1913423.56,2039921.5200000003,2116637.34,2253971.2399999998,1934773.2200000002,1909690.7200000002,1777159.2299999997,1905868.46,1596774.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Видин,387992.94999999995,370140.17000000004,445664.8799999999,462849.01,477732.45,478611.35000000003,521267.85,583390.66,484317.53,481847.5,426093.91000000003,430471.64999999997,398826.4,366592.75,377469.21,360780.26000000007,425253.3900000001,466385.10000000003,516781.06999999995,563893.49,505410.24,493960.63,436034.63,428388.48,399557.42000000004,382032.50999999995,427289.48,471455.67,513254.35,499918.82999999996,581461.45,607489.28,491349.34,487990.26999999996,430647.82999999996,450974.31999999995,415456.18999999994,404283.51,453963.86,461413.46,478741.0,471959.08999999997,540359.22,579472.48,464911.51,456960.02999999997,400598.39,494056.15,330581.45,340534.11000000004,419690.72,461004.32,468052.58,475445.48000000004,581735.48,608911.9099999999,495105.63,468434.45999999996,431411.95999999996,460084.9,411124.28,384824.19999999995,441255.57000000007,481739.39999999997,528478.18,525811.7799999999,603755.8800000001,652187.59,529420.62,513645.52999999997,477194.22,498859.81000000006,456859.80000000005,418619.89999999997,472095.18999999994,545876.9,572157.34,598400.13,664622.48,764028.89,586118.8,559916.1699999999,535484.59,626649.98,501152.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Враца,734432.79,699701.7699999999,838250.0900000001,887013.8300000001,912989.38,893940.6900000001,924069.4600000001,943298.5399999999,850730.76,849219.3500000001,785919.5800000001,807342.0800000001,744393.1399999999,698266.0099999999,695451.92,696199.2,882433.39,895971.56,954960.9000000003,1010017.44,934756.31,940931.46,831014.36,817359.47,788104.02,769833.4000000001,836483.6200000001,940001.5,1017962.5499999999,1006785.5099999998,1063379.17,1042541.9199999999,960423.9299999999,968324.21,863268.97,910654.43,821220.7100000001,813578.27,905874.6599999999,919484.72,984596.1100000001,946989.11,964849.6699999999,968399.53,946039.05,938821.4299999999,852241.97,1024943.7699999999,729712.7000000001,742030.3599999999,892282.5299999999,968045.23,1002186.3900000001,990085.2,1050924.47,1028321.09,952777.82,941736.9300000002,888981.49,903136.49,821615.43,818982.29,973140.5,1040332.43,1107850.7100000002,1095487.68,1089918.82,1117429.7799999998,1030303.29,1061710.94,1010371.9800000001,1000011.5700000001,950513.73,882674.19,1012938.1100000001,1125073.15,1145174.5799999998,1166479.5999999999,1163151.0299999998,1198214.1400000001,1087965.55,1131126.43,1080509.76,1177038.5999999999,971607.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Габрово,743806.78,703480.27,854833.0499999998,858293.7200000002,882730.89,894011.4099999999,950030.6499999999,1001429.15,900155.95,851999.69,790062.19,816263.4299999999,731465.19,703464.35,682887.1299999999,650197.19,821352.1300000001,834006.9699999999,937476.76,962342.3099999998,902505.32,867341.1599999999,772686.15,758151.84,718048.73,701683.38,768242.56,853323.5900000001,950668.06,912968.0800000001,1050773.59,1033867.7299999999,915353.01,899195.3699999999,818538.85,838274.71,751214.64,758325.01,811982.1699999999,845190.3999999999,898450.52,849227.1800000002,937660.3700000001,932441.3499999999,871712.5499999999,877590.3500000001,803585.33,969871.8700000001,629875.07,691467.77,824321.48,880494.1600000001,917808.1799999999,928871.76,1012656.47,1011915.89,908442.11,905864.5700000001,847588.93,859609.7300000001,774535.55,762885.1799999999,896594.73,928943.79,965022.8900000001,972685.4299999999,1014241.5199999999,1053519.57,944864.24,960169.95,912814.53,921822.55,807324.9299999999,780002.2299999999,901574.16,973621.3300000001,1005522.7899999999,1057708.7000000002,1064017.0699999998,1103312.69,987414.3500000001,1013443.34,963047.02,1034123.1100000001,825069.0700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Добрич,845359.2999999999,885783.5299999999,1106548.6400000001,1088729.8199999998,1128327.81,1261373.1300000001,1695315.23,1610892.4899999998,1163374.19,1069436.64,953203.6000000001,967781.45,883163.5599999999,826214.67,866985.2000000001,794033.2,1025679.24,1064260.5699999998,1355488.91,1463118.14,1197944.99,1070611.3199999998,966631.99,902844.99,870684.8700000001,832613.48,951086.41,1052659.54,1171080.6500000001,1176781.9700000002,1625977.2200000002,1734853.77,1218657.6600000001,1109983.4000000001,1014307.2899999999,1037560.29,944664.3,934695.8400000001,988793.79,1076707.32,1160612.01,1182204.1099999999,1473012.43,1578352.15,1195067.62,1104749.55,960416.8699999999,1138394.7099999997,805694.6500000001,825443.78,1000417.4000000001,1079445.76,1141348.0599999998,1230856.56,1540796.8399999999,1625510.13,1202089.29,1079297.58,981316.0199999998,1010813.76,908570.28,910975.6400000001,1067341.18,1112031.6500000001,1193819.03,1312488.3900000001,1611191.9000000001,1732869.2300000004,1276386.8699999999,1197730.3599999999,1103836.5899999999,1095215.68,1028411.63,935185.8599999999,1141225.5900000003,1233467.72,1319381.01,1480443.4299999997,1812611.0,2003122.48,1435756.5599999998,1286501.99,1223590.44,1279686.5500000003,1058615.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кърджали,1586509.0,884516.6500000001,1106673.7000000002,1107804.3200000003,1157048.04,1200227.4500000002,1383708.95,1672999.23,1318102.72,1120311.15,1002211.08,1108117.1799999997,1066198.4500000002,952474.82,741788.75,441955.39999999997,580592.71,816987.3400000001,1059784.56,931890.4400000001,752503.14,664999.8300000001,591329.21,599183.4299999999,579085.57,514355.78,578842.01,605214.68,738929.9400000001,810654.0,1220252.1099999999,1215896.33,925179.37,857515.79,763989.25,791343.94,592511.3,755765.23,940687.66,1015114.28,1188169.3499999999,1355577.88,1714283.63,1510446.32,1198372.4400000002,1056462.22,987509.43,1125208.69,947215.99,930807.29,1076429.96,1187924.3900000001,1221589.99,1464470.74,1842938.31,1879192.4900000002,1543507.0699999998,1193558.96,1061714.71,1145087.44,1047840.35,1021637.4099999999,1149212.23,1255612.23,1374012.54,1607131.43,1953081.3599999999,2027223.15,1539784.1900000002,1222281.1,1117196.03,1166112.1099999999,1182084.7,1077777.95,1252222.31,1350052.1199999999,1464470.18,1921204.32,2348165.12,2496629.5799999996,1843077.9499999997,1360063.5,1271532.03,1450509.15,1222759.1800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кюстендил,728207.27,620777.15,750620.2,746238.5900000001,788051.64,832471.7899999999,851659.17,932730.3,776447.3700000001,763060.31,675529.95,717874.3500000001,671712.86,631371.0199999999,621993.6,572238.26,741066.9299999999,773704.53,832278.46,864691.44,808830.0700000001,807268.81,711506.9800000001,684209.98,686273.26,643367.52,704390.0099999999,751690.8400000001,871762.47,857611.1000000001,953570.7400000002,940007.3800000001,795969.34,821941.1399999999,748483.48,773733.36,729559.16,704314.23,785284.86,773975.7200000001,831349.24,829322.8899999999,890435.37,904510.73,838554.5800000001,852954.72,759539.51,900090.4500000001,628008.94,665533.87,768115.1399999999,799842.01,861801.6900000001,882154.1399999999,972340.4200000002,965504.76,858637.6399999999,838994.06,768004.0599999999,801325.01,741853.48,715175.15,814349.8599999999,858288.48,913296.7600000001,967462.0000000001,1000266.2400000001,1029115.4300000002,908922.51,908121.1900000001,857619.56,858453.75,795539.22,748167.6599999999,863131.1300000001,926650.4099999999,978902.63,1061821.9500000002,1109362.28,1122242.17,990691.04,980076.75,928479.1699999999,1003190.77,848060.1799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
