№,Седмица,Бензин A95,Дизел,Пропан Бутан,year,start_date
1,30.12 - 05.01.20,1.14,1.17,0.49,2020,2020-12-30
2,06.01 - 12.01.20,1.14,1.17,0.49,2020,2020-01-06
3,13.01 - 19.01.20,1.14,1.17,0.49,2020,2020-01-13
4,20.01 - 26.01.20,1.14,1.17,0.5,2020,2020-01-20
5,27.01 - 02.02.20,1.14,1.17,0.5,2020,2020-01-27
6,03.02 - 09.02.20,1.14,1.17,0.5,2020,2020-02-03
7,10.02 - 16.02.20,1.14,1.16,0.5,2020,2020-02-10
8,17.02 - 23.02.20,1.14,1.16,0.5,2020,2020-02-17
9,24.02 - 01.03.20,1.14,1.16,0.5,2020,2020-02-24
10,02.03 - 08.03.20,1.14,1.16,0.5,2020,2020-03-02
11,09.03 - 15.03.20,1.1,1.12,0.49,2020,2020-03-09
12,16.03 - 22.03.20,1.06,1.07,0.48,2020,2020-03-16
13,23.03 - 29.03.20,1.0,1.01,0.46,2020,2020-03-23
14,30.03 - 05.04.20,0.96,0.98,0.44,2020,2020-03-30
15,06.04 - 12.04.20,0.93,0.96,0.42,2020,2020-04-06
16,13.04 - 19.04.20,0.93,0.96,0.41,2020,2020-04-13
17,20.04 - 26.04.20,0.92,0.96,0.41,2020,2020-04-20
18,27.04 - 03.05.20,0.91,0.95,0.41,2020,2020-04-27
19,04.05 - 10.05.20,0.89,0.93,0.4,2020,2020-05-04
20,11.05 - 17.05.20,0.88,0.92,0.4,2020,2020-05-11
21,18.05 - 24.05.20,0.86,0.88,0.4,2020,2020-05-18
22,25.05 - 31.05.20,0.86,0.88,0.39,2020,2020-05-25
23,01.06 - 07.06.20,0.86,0.88,0.39,2020,2020-06-01
24,08.06 - 14.06.20,0.86,0.88,0.4,2020,2020-06-08
25,15.06 - 21.06.20,0.87,0.89,0.4,2020,2020-06-15
26,22.06 - 28.06.20,0.87,0.89,0.4,2020,2020-06-22
27,29.06 - 05.07.20,0.87,0.89,0.4,2020,2020-06-29
28,06.07 - 12.07.20,0.88,0.9,0.41,2020,2020-07-06
29,13.07 - 19.07.20,0.89,0.91,0.41,2020,2020-07-13
30,20.07 - 26.07.20,0.9,0.91,0.42,2020,2020-07-20
31,27.07 - 02.08.20,0.9,0.92,0.43,2020,2020-07-27
32,03.08 - 09.08.20,0.91,0.92,0.43,2020,2020-08-03
33,10.08 - 16.08.20,0.92,0.93,0.43,2020,2020-08-10
34,17.08 - 23.08.20,0.92,0.93,0.43,2020,2020-08-17
35,24.08 - 30.08.20,0.92,0.93,0.43,2020,2020-08-24
36,31.08 - 06.09.20,0.92,0.93,0.43,2020,2020-08-31
37,07.09 - 13.09.20,0.92,0.92,0.43,2020,2020-09-07
38,14.09 - 20.09.20,0.92,0.92,0.42,2020,2020-09-14
39,21.09 - 27.09.20,0.92,0.92,0.42,2020,2020-09-21
40,28.09 - 04.10.20,0.92,0.91,0.42,2020,2020-09-28
41,05.10 - 11.10.20,0.92,0.91,0.43,2020,2020-10-05
42,12.10 - 18.10.20,0.92,0.91,0.43,2020,2020-10-12
43,19.10 - 25.10.20,0.92,0.91,0.43,2020,2020-10-19
44,26.10 - 01.11.20,0.93,0.92,0.43,2020,2020-10-26
45,02.11 - 08.11.20,0.93,0.92,0.44,2020,2020-11-02
46,09.11 - 15.11.20,0.93,0.92,0.44,2020,2020-11-09
47,16.11 - 22.11.20,0.93,0.92,0.44,2020,2020-11-16
48,23.11 - 29.11.20,0.93,0.92,0.44,2020,2020-11-23
49,30.11 - 06.12.20,0.93,0.92,0.44,2020,2020-11-30
50,07.12 - 13.12.20,0.93,0.92,0.44,2020,2020-12-07
51,14.12 - 20.12.20,0.93,0.92,0.44,2020,2020-12-14
52,21.12 - 27.12.20,0.93,0.93,0.45,2020,2020-12-21
53,28.12 - 03.01.21,0.93,0.93,0.45,2021,2021-12-28
1,04.01 - 10.01.21,0.93,0.93,0.46,2021,2021-01-04
2,11.01 - 17.01.21,0.94,0.94,0.47,2021,2021-01-11
3,18.01 - 24.01.21,0.95,0.95,0.48,2021,2021-01-18
4,25.01 - 31.01.21,0.96,0.96,0.49,2021,2021-01-25
5,01.02 - 07.02.21,0.97,0.97,0.49,2021,2021-02-01
6,08.02 - 14.02.21,0.97,0.97,0.5,2021,2021-02-08
7,15.02 - 21.02.21,0.99,0.98,0.5,2021,2021-02-15
8,22.02 - 28.02.21,1.0,1.0,0.52,2021,2021-02-22
9,01.03 - 07.03.21,1.01,1.01,0.52,2021,2021-03-01
10,08.03 - 14.03.21,1.03,1.03,0.53,2021,2021-03-08
11,15.03 - 21.03.21,1.05,1.04,0.54,2021,2021-03-15
12,22.03 - 28.03.21,1.05,1.05,0.55,2021,2021-03-22
13,29.03 - 04.04.21,1.06,1.06,0.55,2021,2021-03-29
14,05.04 - 11.04.21,1.07,1.06,0.55,2021,2021-04-05
15,12.04 - 18.04.21,1.07,1.06,0.56,2021,2021-04-12
16,19.04 - 25.04.21,1.07,1.07,0.56,2021,2021-04-19
17,26.04 - 02.05.21,1.07,1.07,0.56,2021,2021-04-26
18,03.05 - 09.05.21,1.07,1.07,0.55,2021,2021-05-03
19,10.05 - 16.05.21,1.07,1.07,0.55,2021,2021-05-10
20,17.05 - 23.05.21,1.07,1.07,0.55,2021,2021-05-17
21,24.05 - 30.05.21,1.08,1.07,0.54,2021,2021-05-24
22,31.05 - 06.06.21,1.08,1.07,0.53,2021,2021-05-31
23,07.06 - 13.06.21,1.08,1.07,0.53,2021,2021-06-07
24,14.06 - 20.06.21,1.08,1.08,0.53,2021,2021-06-14
25,21.06 - 27.06.21,1.09,1.09,0.53,2021,2021-06-21
26,28.06 - 04.07.21,1.1,1.1,0.53,2021,2021-06-28
27,05.07 - 11.07.21,1.11,1.11,0.54,2021,2021-07-05
28,12.07 - 18.07.21,1.11,1.11,0.54,2021,2021-07-12
29,19.07 - 25.07.21,1.14,1.14,0.57,2021,2021-07-19
30,26.07 - 01.08.21,1.15,1.14,0.57,2021,2021-07-26
31,02.08 - 08.08.21,1.16,1.16,0.59,2021,2021-08-02
32,09.08 - 15.08.21,1.16,1.16,0.59,2021,2021-08-09
33,16.08 - 22.08.21,1.16,1.16,0.6,2021,2021-08-16
34,23.08 - 29.08.21,1.16,1.16,0.6,2021,2021-08-23
35,30.08 - 05.09.21,1.16,1.16,0.6,2021,2021-08-30
36,06.09 - 12.09.21,1.16,1.16,0.6,2021,2021-09-06
37,13.09 - 19.09.21,1.16,1.16,0.6,2021,2021-09-13
38,20.09 - 26.09.21,1.16,1.16,0.6,2021,2021-09-20
39,27.09 - 03.10.21,1.17,1.16,0.61,2021,2021-09-27
40,04.10 - 10.10.21,1.18,1.19,0.63,2021,2021-10-04
41,11.10 - 17.10.21,1.2,1.21,0.65,2021,2021-10-11
42,18.10 - 24.10.21,1.22,1.22,0.67,2021,2021-10-18
43,25.10 - 31.10.21,1.23,1.23,0.68,2021,2021-10-25
44,01.11 - 07.11.21,1.23,1.24,0.7,2021,2021-11-01
45,08.11 - 14.11.21,1.24,1.26,0.71,2021,2021-11-08
46,15.11 - 21.11.21,1.25,1.27,0.72,2021,2021-11-15
47,22.11 - 28.11.21,1.25,1.28,0.72,2021,2021-11-22
48,29.11 - 05.12.21,1.24,1.28,0.72,2021,2021-11-29
49,06.12 - 12.12.21,1.24,1.27,0.72,2021,2021-12-06
50,13.12 - 19.12.21,1.23,1.26,0.72,2021,2021-12-13
51,20.12 - 26.12.21,1.23,1.26,0.72,2021,2021-12-20
52,27.12 - 02.01.22,1.23,1.26,0.72,2022,2022-12-27
1,03.01 - 09.01.22,1.23,1.26,0.72,2022,2022-01-03
2,10.01 - 16.01.22,1.24,1.26,0.71,2022,2022-01-10
3,17.01 - 23.01.22,1.24,1.28,0.71,2022,2022-01-17
4,24.01 - 30.01.22,1.25,1.29,0.71,2022,2022-01-24
5,31.01 - 06.02.22,1.26,1.3,0.71,2022,2022-01-31
6,07.02 - 13.02.22,1.27,1.31,0.71,2022,2022-02-07
7,14.02 - 20.02.22,1.29,1.32,0.72,2022,2022-02-14
8,21.02 - 27.02.22,1.31,1.34,0.72,2022,2022-02-21
9,28.02 - 06.03.22,1.4,1.42,0.77,2022,2022-02-28
10,07.03 - 13.03.22,1.46,1.49,0.8,2022,2022-03-07
11,14.03 - 20.03.22,1.48,1.51,0.81,2022,2022-03-14
12,21.03 - 27.03.22,1.48,1.52,0.81,2022,2022-03-21
13,28.03 - 03.04.22,1.5,1.55,0.81,2022,2022-03-28
14,04.04 - 10.04.22,1.51,1.56,0.82,2022,2022-04-04
15,11.04 - 17.04.22,1.51,1.58,0.82,2022,2022-04-11
16,18.04 - 24.04.22,1.51,1.59,0.82,2022,2022-04-18
17,25.04 - 01.05.22,1.51,1.6,0.82,2022,2022-04-25
18,02.05 - 08.05.22,1.53,1.63,0.82,2022,2022-05-02
19,09.05 - 15.05.22,1.55,1.65,0.82,2022,2022-05-09
20,16.05 - 22.05.22,1.59,1.68,0.82,2022,2022-05-16
21,23.05 - 29.05.22,1.61,1.68,0.81,2022,2022-05-23
22,30.05 - 05.06.22,1.63,1.68,0.81,2022,2022-05-30
23,06.06 - 12.06.22,1.68,1.71,0.81,2022,2022-06-06
24,13.06 - 19.06.22,1.71,1.75,0.8,2022,2022-06-13
25,20.06 - 26.06.22,1.73,1.8,0.8,2022,2022-06-20
26,27.06 - 03.07.22,1.73,1.82,0.79,2022,2022-06-27
27,04.07 - 10.07.22,1.74,1.82,0.78,2022,2022-07-04
28,11.07 - 17.07.22,1.74,1.82,0.72,2022,2022-07-11
29,18.07 - 24.07.22,1.73,1.81,0.7,2022,2022-07-18
