МЕСЕЦ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Благоевград,2437322.57,2320970.3000000003,2706063.08,2656458.96,2849174.33,2999469.6800000006,3301344.92,3545805.74,3445760.9200000004,3084122.9799999995,2800754.54,2913107.21,2645192.78,2459679.22,2002444.22,1618431.2799999998,2222540.4300000006,2558691.1,2775004.5199999996,2821672.5,2734172.9099999997,2609367.5900000003,2149226.7,2139540.73,2082327.0100000002,1959421.7600000002,2120579.2500000005,2161367.18,2431410.3699999996,2416011.03,2696707.87,2773759.37,2526857.26,2421898.6900000004,2133538.57,2222238.9199999995,1949231.1900000004,1939844.1,2162624.46,2291754.7,2471950.12,2597461.5100000002,3072029.26,3187961.41,3169262.3,2980207.39,2728011.29,3008754.4699999997,2518373.6700000004,2445187.14,2744666.9600000004,2793121.74,2956068.85,3139315.7500000005,3530476.68,3526096.33,3418360.52,3079942.92,2794715.95,2900839.97,2607019.62,2508741.9699999997,2794924.7699999996,2786159.38,2986417.9800000004,3129539.7300000004,3290998.9699999997,3396502.4,3240020.4600000004,2880430.05,2664907.3499999996,2687294.5500000003,2526756.52,2347396.44,2683615.3400000003,2689368.03,2858808.2399999993,3056516.23,3252782.33,3360691.2500000005,3166406.8199999994,2762135.1099999994,2601183.7100000004,2735762.8400000003,2385763.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бургас,2610025.06,2442548.75,2937237.6399999997,2970668.54,3470640.2799999993,4224252.27,5263483.87,5987679.5600000005,4472641.6,3363591.87,3092706.9800000004,3126130.73,2757373.6,2725680.58,2275328.7800000003,2001863.8799999997,2828688.8299999996,3459638.2199999997,4858146.9399999995,5877766.24,4451055.54,3211468.5500000003,2747460.32,2538701.02,2358308.35,2236913.94,2416320.3799999994,2615290.0,3126179.17,3843835.1399999997,5130576.58,6061798.330000001,3753460.8599999994,2806415.77,2444079.2299999995,2474306.4600000004,2136430.2999999993,2031627.3899999997,2370051.2199999997,2507888.69,2857881.73,3414982.41,5304601.07,5799889.76,4490289.859999999,3687366.03,3439564.8200000003,3627653.2899999996,2972775.41,2862585.04,3407228.07,3475752.4099999997,3928054.3800000004,4673701.49,6234238.39,5981536.170000001,4393992.960000001,3502553.54,3139408.92,3315338.31,2935001.96,2780986.5500000003,3112178.77,3255258.2,3567016.5100000002,4414631.569999999,5612497.92,5749031.699999999,4216407.329999999,3217987.6899999995,2956928.61,2889934.5300000003,2793720.51,2773225.1,3136269.7799999993,3127814.9799999995,3415761.0100000002,4020728.21,5190695.21,5385334.93,3945274.5999999996,3075297.41,2975660.67,3041929.1999999997,2475615.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Варна,3066198.96,3020348.75,3584074.7699999996,3510246.12,3752867.52,4076723.4800000004,4563291.47,4833306.97,4143927.4700000007,3962983.55,3624951.4000000004,3577032.9699999997,3228000.2899999996,3053377.2199999997,2665658.55,2327260.13,3236612.1999999997,3599508.4700000007,4212505.930000001,4378150.19,3820428.4899999998,3492898.84,2997259.0999999996,2854815.89,2817997.9299999997,2695260.76,2954466.1400000006,3092227.16,3367785.2500000005,3486330.1900000004,4245351.579999999,4240910.92,3444353.7600000007,3215241.98,2923164.5599999996,3000860.81,2648225.48,2552413.4200000004,2862482.4000000004,3068909.1899999995,3265747.5100000002,3462879.9799999995,4238234.370000001,4544830.090000001,4023002.6500000004,3893230.5999999996,3703764.899999999,3865229.53,3240412.62,3126146.67,3655474.079999999,3667094.0499999993,3976389.3100000005,4306622.590000001,4929622.56,4817185.44,4123837.77,3899445.7699999996,3619403.6500000004,3626468.4999999995,3335701.38,3271460.8899999997,3641806.19,3716946.28,3857478.07,4198971.98,4660320.1,4590706.7299999995,3882327.12,3680843.6200000006,3433829.4899999993,3356847.1,3168704.42,2850601.99,3341788.4000000004,3370664.16,3553666.6399999997,3808442.2400000007,4301147.0,4297606.100000001,3654472.0599999996,3457930.3600000003,3256570.750000001,3296271.8699999996,2815390.3600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Велико Търново,1793703.1500000004,1749116.4099999997,2108280.69,2054708.11,2194270.66,2182806.16,2453646.2199999997,2677029.6399999997,2407844.05,2224586.79,2032315.87,2063256.3899999997,1813286.8400000003,1682394.8200000003,1542058.32,1386408.8399999999,1911530.21,2020067.8199999998,2242152.75,2355669.23,2215272.94,2126150.95,1813305.19,1717526.07,1599097.3199999998,1510830.43,1677893.4000000001,1813287.0799999998,2014740.5,1952321.4299999997,2205644.3899999997,2227797.7199999997,1959436.27,1844091.82,1646533.5599999996,1644081.35,1424933.2000000002,1348156.41,1507819.56,1642443.4,1709280.53,1713339.9499999997,2034830.6399999997,2081510.3100000003,1990215.7,2007673.5899999999,1819939.58,1920737.12,1577693.9900000002,1545558.7,1797890.77,1824211.54,1946425.2,1984633.0399999996,2171529.77,2159414.27,2050061.71,1987187.69,1835472.71,1828900.94,1597402.57,1587136.1200000003,1795150.8199999998,1807775.9,1897697.19,1913821.9699999997,2012583.37,2054456.67,1886152.52,1872344.0699999998,1759247.18,1726797.9700000002,1557502.9200000002,1428757.15,1630651.7400000002,1636476.3899999997,1712014.0499999998,1742701.5599999996,1812222.5399999998,1839039.65,1731674.23,1706188.85,1602644.7599999998,1668268.33,1367067.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Видин,508336.63000000006,485880.79000000004,595604.4199999999,616276.8800000001,641645.9500000001,649928.4400000001,731939.22,811876.73,755000.8900000001,702166.83,609609.89,625573.05,534574.46,493996.83999999997,468198.70999999996,437488.44,571659.3700000001,613318.14,683825.34,742518.15,717869.55,667110.9400000001,566837.49,553183.21,490101.65,453871.58999999997,513940.05000000005,552108.4,598009.68,598508.09,642320.41,697472.91,654579.6699999999,615029.9199999999,532988.88,560711.5599999999,468643.15,440012.85,489773.05,518193.31000000006,539113.58,554701.89,645006.49,711012.72,680112.64,646025.51,593528.6499999999,650794.47,494705.03,487136.32,562615.9199999999,583708.93,608403.18,611696.8099999999,681764.8899999999,707860.0999999999,690910.7100000001,639242.24,584019.3599999999,613695.94,525123.97,490732.33999999997,549204.44,565075.61,616041.59,601199.42,642788.49,696666.96,661766.83,617482.28,570376.13,600589.72,510713.03,464873.41000000003,520642.85,539182.05,563001.06,567265.12,611792.02,678455.22,648393.94,588397.6399999999,554024.34,634593.13,505628.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Враца,1020581.6000000001,947819.44,1120402.21,1165499.04,1231071.31,1267564.5699999998,1430074.24,1541363.5899999999,1424620.75,1279745.9,1230247.48,1244495.28,1093552.51,1013938.03,940286.06,875386.51,1144280.0,1221893.29,1339886.2200000002,1449784.5700000003,1422763.1800000002,1316290.53,1138746.3,1144550.3800000004,1047054.5600000002,955845.87,1045522.5600000002,1120723.33,1204832.5699999998,1195447.22,1266302.7300000002,1312330.52,1257761.2799999998,1220093.4999999998,1039659.94,1089331.25,916578.9900000002,861919.55,964464.4199999999,1001873.6499999999,1049034.1199999999,1062781.3,1201362.62,1293743.3,1311808.08,1317004.1900000002,1230910.45,1286022.2499999998,1036308.1800000002,1003014.33,1156617.56,1165184.98,1262876.6,1259810.42,1328980.74,1336659.2599999998,1297528.2900000003,1272062.0499999998,1140576.2999999998,1149393.19,1020880.0700000001,991098.5900000001,1113830.97,1134436.7999999998,1189343.6700000004,1195313.68,1212183.48,1237778.0300000003,1178613.56,1167973.53,1084143.7899999998,1073346.3199999998,957896.6599999999,880712.8900000001,996511.98,1012049.1199999999,1070052.86,1066910.4,1106277.69,1143497.02,1114809.9100000001,1093179.12,1019077.6099999999,1130359.0099999998,925155.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Габрово,1029864.4299999999,1003984.0199999998,1211696.55,1207073.54,1242651.8399999999,1223502.6600000001,1296909.7599999998,1341095.67,1270625.9,1269070.1400000001,1124243.52,1129534.09,967214.64,918065.21,822715.9199999999,745420.87,989099.6500000001,1068171.25,1162491.78,1220597.92,1182664.54,1151038.81,982739.95,941616.51,892380.33,848923.72,935999.4899999999,1004167.77,1098444.01,1060259.82,1159218.6600000001,1151802.89,1081245.62,1052815.15,940520.94,902586.6200000001,779091.4199999999,771540.73,860707.52,920407.02,969482.3,964833.62,1098041.49,1143261.4,1098191.9300000002,1138284.8800000001,1036823.1300000001,1067680.42,850015.0599999999,844865.66,988929.01,978409.79,1042080.68,1067015.46,1168376.6199999999,1160639.4699999997,1114352.26,1129359.79,1011453.8600000001,986821.6600000001,864459.0800000001,864369.25,981881.1099999999,1003546.42,1020001.5399999999,1009797.1200000001,1029252.1,1059305.48,996719.6200000001,1004021.87,928255.9299999998,903023.13,794753.33,739682.6200000001,863174.3700000001,871427.72,916379.37,909556.6199999999,953683.5800000001,948900.8499999999,904134.15,887150.2300000001,829070.7,866673.1800000002,708720.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Добрич,1186661.5499999998,1206867.15,1434464.5700000003,1447717.76,1559144.38,1707778.9500000002,1965787.32,2092466.4900000005,1732418.92,1575850.3199999998,1438814.81,1450602.0799999998,1296805.4,1204375.93,1124258.1600000001,1044879.8800000001,1392048.9299999997,1474199.0299999998,1794914.3599999999,1854619.8599999996,1612688.49,1450794.02,1254579.1199999999,1172475.38,1115871.38,1058729.03,1193188.7199999997,1252868.44,1384687.13,1405999.8900000001,1770075.1199999996,1794341.5700000003,1433286.0899999999,1284943.96,1164669.2,1170535.6800000002,1039317.23,987593.4099999999,1067162.42,1184229.8499999999,1286943.07,1344241.2999999998,1692992.7699999998,1746130.73,1526597.1500000001,1438874.61,1340820.45,1380022.28,1181277.3199999998,1126023.1800000002,1332160.5500000003,1370400.9200000002,1489996.83,1596958.58,1879577.4899999998,1851501.2000000002,1584797.49,1467451.79,1320319.96,1325608.08,1192553.81,1186054.21,1332359.6600000001,1361519.94,1424702.75,1547771.8599999999,1747844.2299999997,1763100.7800000003,1471816.96,1376211.01,1269773.1999999997,1233709.86,1163064.1300000001,1032874.79,1216965.72,1230661.72,1313847.9,1386714.1,1581501.72,1633878.3299999998,1373005.93,1247404.56,1195793.2799999998,1223536.28,1021974.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кърджали,944281.0499999999,850821.03,1022861.8099999998,1038500.8699999999,1106561.58,1140401.1400000001,1271965.89,1493843.8900000001,1229301.4200000002,1151573.23,1033976.4800000001,1061894.74,961535.2,862073.38,771290.75,611534.6100000001,813641.6,940665.31,1061030.0,1054625.5100000002,994587.3899999999,925096.4499999998,804508.38,773297.18,707402.22,622014.0099999999,692480.6400000001,719278.01,843812.9299999999,838848.32,1022914.8700000001,1011043.1200000001,914584.1499999999,886326.1400000001,781334.52,792316.6299999999,659175.25,647778.08,754844.83,828950.0700000001,905976.3500000001,945240.3999999999,1183689.4900000002,1199066.0299999998,1128799.4,1049731.7,950162.3200000001,1001794.61,839929.27,773490.1400000001,899029.93,966382.79,1027520.62,1168637.43,1301688.58,1300580.1100000003,1228991.56,1062603.63,947996.3,978362.29,866365.6200000001,802585.9099999999,914956.6200000001,966817.2999999999,1031636.0,1146279.94,1232149.9200000002,1284206.69,1165918.2799999998,1014903.33,903500.7200000001,905203.8799999999,834872.81,752188.52,881321.0499999999,902424.7799999999,973809.9199999999,1130023.07,1230442.36,1312521.1800000002,1185370.42,980260.64,905593.8,955599.65,794304.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кюстендил,1143830.56,1092128.27,1293238.36,1322853.46,1382186.2400000002,1429559.5899999999,1437140.1400000001,1460767.29,1302918.79,1285952.1300000001,1192523.8499999999,1248744.78,1161307.7,1090215.4400000002,976853.3300000001,866046.0700000001,1138126.1600000001,1275938.44,1376142.6700000002,1409897.73,1387057.74,1348130.1500000004,1151359.3,1087255.52,1043080.77,966086.4500000001,1053687.2999999998,1071326.85,1181231.0,1200563.98,1274578.33,1256966.9600000002,1168018.75,1178614.98,1078397.0799999998,1066738.94,955989.58,893776.57,983503.55,1037175.02,1122939.97,1167264.77,1271534.7999999998,1363555.63,1389803.83,1427683.54,1331136.65,1406846.23,1166219.81,1123867.7,1277754.02,1267363.1900000002,1374868.29,1424743.48,1519263.02,1492832.27,1447909.8,1454062.9699999997,1332022.5299999998,1318452.29,1206145.0799999998,1182895.3199999998,1310695.37,1318357.19,1344581.0699999998,1408525.73,1411229.8800000001,1439465.39,1370316.67,1382659.71,1273564.26,1230407.61,1123446.8800000001,1047077.6699999999,1185885.6400000001,1183550.48,1245673.47,1265253.0,1308240.8000000003,1302865.3199999998,1266219.79,1259808.11,1182698.13,1225879.39,1067227.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
