№,Седмица,Бензин A95,Дизел,Пропан Бутан
1,30.12 - 05.01.20,2.22,2.28,0.95
2,06.01 - 12.01.20,2.22,2.28,0.95
3,13.01 - 19.01.20,2.23,2.28,0.96
4,20.01 - 26.01.20,2.23,2.28,0.97
5,27.01 - 02.02.20,2.23,2.28,0.98
6,03.02 - 09.02.20,2.23,2.28,0.98
7,10.02 - 16.02.20,2.22,2.27,0.98
8,17.02 - 23.02.20,2.22,2.27,0.98
9,24.02 - 01.03.20,2.22,2.27,0.98
10,02.03 - 08.03.20,2.22,2.27,0.97
11,09.03 - 15.03.20,2.15,2.19,0.96
12,16.03 - 22.03.20,2.07,2.09,0.94
13,23.03 - 29.03.20,1.96,1.98,0.89
14,30.03 - 05.04.20,1.87,1.91,0.86
15,06.04 - 12.04.20,1.82,1.88,0.83
16,13.04 - 19.04.20,1.81,1.88,0.81
17,20.04 - 26.04.20,1.8,1.88,0.81
18,27.04 - 03.05.20,1.78,1.85,0.8
19,04.05 - 10.05.20,1.75,1.82,0.79
20,11.05 - 17.05.20,1.73,1.79,0.79
21,18.05 - 24.05.20,1.68,1.73,0.78
22,25.05 - 31.05.20,1.68,1.73,0.77
23,01.06 - 07.06.20,1.68,1.73,0.77
24,08.06 - 14.06.20,1.68,1.73,0.78
25,15.06 - 21.06.20,1.7,1.74,0.79
26,22.06 - 28.06.20,1.7,1.74,0.79
27,29.06 - 05.07.20,1.71,1.75,0.79
28,06.07 - 12.07.20,1.73,1.77,0.8
29,13.07 - 19.07.20,1.74,1.78,0.81
30,20.07 - 26.07.20,1.76,1.78,0.83
31,27.07 - 02.08.20,1.77,1.79,0.84
32,03.08 - 09.08.20,1.78,1.8,0.84
33,10.08 - 16.08.20,1.79,1.81,0.84
34,17.08 - 23.08.20,1.79,1.81,0.84
35,24.08 - 30.08.20,1.79,1.81,0.84
36,31.08 - 06.09.20,1.79,1.81,0.84
37,07.09 - 13.09.20,1.79,1.8,0.84
38,14.09 - 20.09.20,1.79,1.8,0.83
39,21.09 - 27.09.20,1.79,1.79,0.83
40,28.09 - 04.10.20,1.79,1.78,0.83
41,05.10 - 11.10.20,1.79,1.78,0.84
42,12.10 - 18.10.20,1.79,1.78,0.84
43,19.10 - 25.10.20,1.8,1.78,0.85
44,26.10 - 01.11.20,1.81,1.79,0.85
45,02.11 - 08.11.20,1.81,1.79,0.86
46,09.11 - 15.11.20,1.81,1.79,0.86
47,16.11 - 22.11.20,1.81,1.79,0.86
48,23.11 - 29.11.20,1.81,1.79,0.86
49,30.11 - 06.12.20,1.81,1.79,0.86
50,07.12 - 13.12.20,1.81,1.79,0.86
51,14.12 - 20.12.20,1.81,1.8,0.87
52,21.12 - 27.12.20,1.82,1.82,0.88
53,28.12 - 03.01.21,1.82,1.82,0.88
1,04.01 - 10.01.21,1.82,1.82,0.89
2,11.01 - 17.01.21,1.84,1.84,0.91
3,18.01 - 24.01.21,1.86,1.86,0.93
4,25.01 - 31.01.21,1.88,1.88,0.95
5,01.02 - 07.02.21,1.89,1.89,0.96
6,08.02 - 14.02.21,1.9,1.9,0.97
7,15.02 - 21.02.21,1.93,1.92,0.98
8,22.02 - 28.02.21,1.96,1.95,1.01
9,01.03 - 07.03.21,1.98,1.98,1.02
10,08.03 - 14.03.21,2.01,2.01,1.04
11,15.03 - 21.03.21,2.05,2.04,1.06
12,22.03 - 28.03.21,2.06,2.06,1.07
13,29.03 - 04.04.21,2.07,2.07,1.08
14,05.04 - 11.04.21,2.09,2.08,1.08
15,12.04 - 18.04.21,2.09,2.08,1.09
16,19.04 - 25.04.21,2.1,2.09,1.1
17,26.04 - 02.05.21,2.1,2.09,1.09
18,03.05 - 09.05.21,2.09,2.09,1.08
19,10.05 - 16.05.21,2.1,2.09,1.08
20,17.05 - 23.05.21,2.1,2.1,1.07
21,24.05 - 30.05.21,2.11,2.1,1.05
22,31.05 - 06.06.21,2.11,2.1,1.03
23,07.06 - 13.06.21,2.11,2.1,1.03
24,14.06 - 20.06.21,2.12,2.11,1.03
25,21.06 - 27.06.21,2.13,2.13,1.03
26,28.06 - 04.07.21,2.15,2.15,1.03
27,05.07 - 11.07.21,2.17,2.17,1.05
28,12.07 - 18.07.21,2.18,2.18,1.06
29,19.07 - 25.07.21,2.22,2.22,1.11
30,26.07 - 01.08.21,2.24,2.23,1.12
31,02.08 - 08.08.21,2.26,2.26,1.15
32,09.08 - 15.08.21,2.27,2.26,1.16
33,16.08 - 22.08.21,2.27,2.27,1.17
34,23.08 - 29.08.21,2.27,2.27,1.17
35,30.08 - 05.09.21,2.27,2.27,1.17
36,06.09 - 12.09.21,2.27,2.26,1.17
37,13.09 - 19.09.21,2.27,2.26,1.17
38,20.09 - 26.09.21,2.27,2.27,1.18
39,27.09 - 03.10.21,2.28,2.27,1.19
40,04.10 - 10.10.21,2.31,2.32,1.23
41,11.10 - 17.10.21,2.35,2.36,1.28
42,18.10 - 24.10.21,2.38,2.39,1.31
43,25.10 - 31.10.21,2.4,2.41,1.33
44,01.11 - 07.11.21,2.41,2.43,1.36
45,08.11 - 14.11.21,2.43,2.46,1.38
46,15.11 - 21.11.21,2.44,2.48,1.4
47,22.11 - 28.11.21,2.45,2.5,1.41
48,29.11 - 05.12.21,2.43,2.5,1.41
49,06.12 - 12.12.21,2.42,2.49,1.4
50,13.12 - 19.12.21,2.41,2.47,1.4
51,20.12 - 26.12.21,2.41,2.47,1.4
52,27.12 - 02.01.22,2.41,2.47,1.4
1,03.01 - 09.01.22,2.41,2.47,1.4
2,10.01 - 16.01.22,2.42,2.47,1.39
3,17.01 - 23.01.22,2.43,2.5,1.38
4,24.01 - 30.01.22,2.45,2.52,1.39
5,31.01 - 06.02.22,2.47,2.54,1.39
6,07.02 - 13.02.22,2.48,2.56,1.39
7,14.02 - 20.02.22,2.52,2.59,1.4
8,21.02 - 27.02.22,2.57,2.63,1.41
9,28.02 - 06.03.22,2.73,2.78,1.5
10,07.03 - 13.03.22,2.86,2.91,1.57
11,14.03 - 20.03.22,2.9,2.95,1.59
12,21.03 - 27.03.22,2.9,2.97,1.58
